# vertex,pagerank
151,0.002991057
519,0.002912753
497,0.00288951
532,0.002760585
499,0.002697883
387,0.002625506
251,0.002610257
402,0.0025997
323,0.002593272
293,0.002592038
412,0.002567163
281,0.002539087
426,0.002526422
435,0.002489775
539,0.002484318
229,0.002476803
459,0.002472088
430,0.002465298
467,0.002453663
442,0.002449311
2002,0.002446773
457,0.002445997
514,0.002423336
518,0.002419666
417,0.002416966
3129,0.002415446
368,0.0023984
285,0.002395786
472,0.002384381
2006,0.002375534
432,0.002370276
312,0.002364303
128,0.002362571
490,0.002352376
537,0.002342323
347,0.002334614
265,0.002332786
523,0.00233175
297,0.002317908
284,0.00231574
410,0.0023125
474,0.002308202
161,0.002305028
237,0.002304712
301,0.002303859
83,0.002302322
401,0.00229845
195,0.002298082
359,0.002295215
268,0.002293235
517,0.002291196
465,0.002287164
382,0.002284128
507,0.002279417
3141,0.002269394
528,0.002265916
473,0.002264478
477,0.002257925
305,0.002253346
486,0.002250388
546,0.002249574
428,0.002247333
466,0.002243936
445,0.002227747
236,0.002223553
310,0.002222699
446,0.002221812
377,0.002208145
504,0.002206026
444,0.002202317
458,0.002200272
524,0.002197282
3002,0.002184809
540,0.002181213
2000,0.002181073
479,0.002172144
127,0.002171919
167,0.002169087
505,0.002167519
438,0.00216749
304,0.00216694
303,0.002166566
358,0.002163611
520,0.002160647
503,0.002156276
386,0.00215581
531,0.002150857
433,0.002149005
361,0.002148945
461,0.002147718
319,0.002146756
468,0.002143609
2012,0.002143598
327,0.002141926
527,0.002139599
173,0.002138742
491,0.002135343
484,0.002129778
496,0.002125654
492,0.002125587
385,0.002124852
2021,0.002124545
326,0.00212417
168,0.002123748
526,0.002122734
405,0.002118934
545,0.00211833
460,0.002116983
529,0.002111652
317,0.002107085
450,0.00210604
253,0.002103848
462,0.002100061
2010,0.002100051
380,0.00209205
379,0.002091659
439,0.002089739
476,0.002087937
483,0.002083211
3142,0.002075711
164,0.002053895
348,0.002051334
482,0.002046343
509,0.002046141
530,0.002039246
116,0.002034546
330,0.002033998
508,0.002033486
455,0.002029338
72,0.002021123
345,0.002019951
494,0.002014655
501,0.002003957
536,0.002003799
453,0.002002468
355,0.00200114
336,0.00199977
153,0.00199635
383,0.001980504
217,0.001979204
485,0.001978773
257,0.001974914
471,0.001974799
522,0.001972653
335,0.001969611
511,0.001966848
500,0.001964198
441,0.001962249
311,0.001961069
3016,0.001960534
487,0.001960305
174,0.001957725
488,0.001951437
212,0.001951045
3255,0.001947682
315,0.001946842
448,0.001944648
495,0.001936462
388,0.001933826
252,0.001933408
250,0.0019322
434,0.001930476
440,0.001929778
481,0.001926786
2003,0.001926478
325,0.001923482
147,0.001917738
498,0.001916902
350,0.00191585
334,0.001915192
521,0.001908906
391,0.001906086
307,0.001905801
320,0.001905546
3263,0.001904308
79,0.001900969
478,0.001899795
422,0.001896021
263,0.001895387
469,0.001894596
456,0.001890528
533,0.001890401
447,0.001884292
403,0.001880949
470,0.001880584
306,0.001877286
525,0.001869458
300,0.001863687
143,0.001859183
152,0.001852045
238,0.001848254
296,0.001847936
267,0.001839755
392,0.00183169
515,0.001830365
414,0.001830296
309,0.00182618
357,0.001824789
398,0.00182221
454,0.001814589
3224,0.001810787
369,0.001803735
394,0.001803563
280,0.001803557
360,0.001801951
346,0.001798467
3140,0.001798048
328,0.001792502
225,0.001790001
146,0.001789675
259,0.001785656
316,0.001784715
264,0.001782602
3147,0.001775943
375,0.001773136
2008,0.001771123
228,0.001762355
157,0.00176199
475,0.001757186
389,0.001754536
415,0.00175232
3233,0.001746942
274,0.001741536
279,0.001738287
423,0.001736218
396,0.001731024
363,0.001729244
254,0.001724754
376,0.00172468
2023,0.001720298
352,0.001718497
150,0.001718206
247,0.001714077
480,0.001713573
3158,0.001710858
406,0.001703589
516,0.001702498
3223,0.001701054
261,0.001695624
395,0.001683498
366,0.001683243
3593,0.001681529
3242,0.001679966
3427,0.001678411
2004,0.00167733
324,0.001676427
349,0.001673882
449,0.001673388
513,0.001669821
223,0.001669072
3164,0.001665706
3163,0.001656337
3167,0.001655587
493,0.00163192
3159,0.001630409
3137,0.001630031
3134,0.001629291
351,0.001628985
384,0.001620668
362,0.001620439
295,0.00161938
224,0.001617916
463,0.00161627
3409,0.001611787
