# vertex,pagerank
116,0.0020345459
119,0.0005116928
120,0.0011359452
127,0.0021719187
128,0.0023625707
137,0.0014906892
143,0.0018591828
144,0.0012260114
146,0.001789675
147,0.001917738
150,0.0017182056
151,0.0029910565
152,0.001852045
153,0.0019963498
157,0.0017619904
160,0.0013668953
161,0.002305028
164,0.0020538946
167,0.0021690868
168,0.002123748
173,0.0021387418
174,0.0019577248
195,0.0022980815
2000,0.002181073
2001,0.0006916371
2002,0.002446773
2003,0.0019264776
2004,0.0016773304
2005,0.0004103301
2006,0.002375534
2008,0.0017711231
2009,0.0013386317
2010,0.002100051
2012,0.0021435982
2017,0.0013199779
2021,0.002124545
2022,0.0015711344
2023,0.0017202984
212,0.0019510454
216,0.0009059742
217,0.0019792044
218,0.0007355682
223,0.0016690718
224,0.0016179159
225,0.001790001
228,0.0017623552
229,0.002476803
232,0.0013524999
233,0.0010851795
236,0.0022235527
237,0.0023047116
238,0.0018482538
239,0.0010045993
241,0.0013383538
242,0.0013708847
243,0.0015159647
244,0.0012002348
245,0.0008342292
247,0.0017140766
248,0.0012238458
249,0.0015126832
250,0.0019322002
251,0.0026102574
252,0.0019334084
253,0.0021038477
254,0.001724754
255,0.0002985374
257,0.0019749135
258,0.0015492439
259,0.0017856556
260,0.0014937513
261,0.0016956244
262,0.0010960607
263,0.001895387
264,0.0017826024
265,0.002332786
266,0.0012539133
267,0.0018397548
268,0.0022932347
270,0.0012477404
271,0.0009988965
274,0.0017415358
275,0.0009787119
276,0.0015652402
278,0.0011175771
279,0.0017382874
280,0.0018035568
281,0.0025390873
282,0.0015682675
284,0.0023157396
285,0.0023957856
289,0.0008601949
290,0.0014592804
291,0.0012251014
293,0.0025920384
294,0.0015523111
295,0.00161938
296,0.001847936
297,0.0023179082
298,0.0009897635
300,0.0018636872
3002,0.002184809
301,0.0023038588
3014,0.0001789801
3016,0.0019605341
3017,0.0001911154
3019,0.00021214
302,0.001402078
303,0.002166566
304,0.00216694
3040,0.0012088767
3041,0.0007396446
3042,0.0008170738
3043,0.0005158673
3044,0.0005729072
3046,0.0006974102
3047,0.0007026872
3048,0.0005531692
3049,0.000791115
305,0.002253346
3050,0.0006829332
3052,0.0008604798
3053,0.0006117398
3054,0.0006078682
3055,0.0007992168
3056,0.0006736108
3057,0.000724634
3058,0.0007654397
3059,0.000487664
306,0.0018772862
3060,0.0005792078
3061,0.0005048594
3062,0.0006247322
3063,0.0006390224
3064,0.0013243351
3065,0.0005904492
3066,0.0007993682
3067,0.000887977
3068,0.0008277566
3069,0.0005742334
307,0.0019058014
3070,0.0006450706
3071,0.0008328396
3072,0.0006861713
3073,0.0008561822
3074,0.0013105316
3075,0.0005448283
3076,0.000752608
3077,0.0010319519
3078,0.0009066985
3079,0.0008109586
308,0.0015025956
3080,0.000787118
3081,0.0009542266
3082,0.001137143
3083,0.0011586109
3084,0.0006909176
3085,0.0011139651
3086,0.0011766072
3087,0.0013470909
3088,0.0008717666
3089,0.0003645307
309,0.0018261798
3090,0.001087957
3091,0.0007670427
3092,0.0014139058
3093,0.001561451
3094,0.0008440177
3095,0.0006672438
3096,0.0011157426
3097,0.0004244975
3098,0.0004745011
3099,0.0004290171
310,0.0022226989
3100,0.0008353375
3101,0.001119058
3102,0.0009596772
3103,0.0010853756
3104,0.0009395053
3105,0.0007334038
3106,0.0009517804
3107,0.0015284786
3108,0.0009517966
3109,0.0009995863
311,0.0019610685
3110,0.0010447052
3111,0.000757529
3112,0.0013597488
3113,0.0012391482
3114,0.000380995
3115,0.0010105915
3116,0.0009929982
3117,0.0008587998
3118,0.0010267589
3119,0.0012455989
312,0.002364303
3120,0.0005767408
3121,0.0008425574
3122,0.000831282
3123,0.0005496518
3124,0.0010701282
3125,0.0008658167
3126,0.0011358339
3127,0.0006800324
3128,0.0005251491
3129,0.0024154459
313,0.0013973962
3130,0.0009075568
3131,0.0009143006
3132,0.0014793092
3133,0.0002617637
3134,0.0016292913
3135,0.001324001
3136,0.0012752408
3137,0.0016300313
3138,0.0004516248
3139,0.0012589863
314,0.0015230216
3140,0.0017980476
3141,0.0022693935
3142,0.0020757113
3143,0.0014142678
3144,0.0008088166
3145,0.001520337
3146,0.0010659301
3147,0.0017759432
3148,0.0010815393
3149,0.0003804245
315,0.001946842
3150,0.001332798
3151,0.0010868122
3152,0.0007593402
3153,0.0006011693
3154,0.000602098
3155,0.0009591666
3156,0.0014738436
3157,0.0007711473
3158,0.0017108584
3159,0.0016304087
316,0.0017847152
3160,0.0012763572
3161,0.001124712
3162,0.0012130829
3163,0.0016563366
3164,0.0016657055
3165,0.0015068382
3166,0.0014009333
3167,0.0016555869
3168,0.00153174
3169,0.0011905037
317,0.0021070845
3170,0.001287178
3171,0.0012772237
3172,0.001211032
3173,0.001451347
3175,0.0014192914
3176,0.0011776309
3177,0.0013766357
3178,0.0012309126
3179,0.0005996205
318,0.0015311161
3180,0.0009953338
3181,0.0005758436
3182,0.0008540773
319,0.0021467556
320,0.001905546
321,0.0015943202
3219,0.0004109359
322,0.0014449097
3221,0.0007886807
3222,0.0009740035
3223,0.0017010536
3224,0.0018107874
3226,0.0012185094
3229,0.0002668259
323,0.0025932721
3230,0.0010231788
3231,0.0014487047
3232,0.0013617844
3233,0.0017469422
3234,0.0005390789
3235,0.0015236447
3236,0.0013778736
3237,0.0003318387
3238,0.0012021556
3239,0.0012088767
324,0.0016764269
3240,0.0001844023
3241,0.0006752807
3242,0.0016799656
3243,0.0012593704
3244,0.0014705257
3245,0.0006882554
3246,0.0006631604
3249,0.0006880199
325,0.0019234822
3250,0.000205268
3252,0.0003117971
3253,0.0003117971
3254,0.000602704
3255,0.0019476822
3256,0.0014774934
3257,0.000335522
3258,0.0011861356
3259,0.0014537598
326,0.0021241698
3260,0.0014787199
3263,0.0019043084
3264,0.0005342204
3265,0.0006502375
327,0.002141926
328,0.0017925018
3282,0.0011359748
3283,0.0007055498
3284,0.0007325838
3285,0.0009501386
3286,0.0009232709
3287,0.0004012439
3288,0.0010571053
3289,0.0008239989
329,0.0015695622
3290,0.0008385697
3291,0.0002998032
3292,0.0007622712
3293,0.0008717589
3294,0.0006762908
3295,0.0010167153
3296,0.0004984246
3297,0.0006048532
3298,0.0008415166
330,0.002033998
3300,0.0008059942
3301,0.0010654875
3302,0.000454325
3303,0.0006379806
3304,0.0007825399
3305,0.0011036952
3306,0.0006593068
3307,0.0008537906
3308,0.0008143898
3309,0.0004305244
331,0.0011312076
3310,0.0006970034
3311,0.0007161604
3312,0.0008428367
3313,0.0006781277
3314,0.000996068
3315,0.0008213158
3316,0.0007042458
3317,0.0005426632
3318,0.0009594701
3319,0.0008258455
332,0.0013382775
3320,0.0008175348
3321,0.0008499294
3322,0.0005708704
3323,0.0009377551
3324,0.0008605418
